,Male,Female
115,The father counts.,The mother counts.
116,The father covers.,The mother covers.
117,The father cracks.,The mother cracks.
118,The father crashes.,The mother crashes.
119,The father crawls.,The mother crawls.
120,The father crosses.,The mother crosses.
121,The father crushes.,The mother crushes.
122,The father cries.,The mother cries.
123,The father cures.,The mother cures.
124,The father curls.,The mother curls.
125,The father curves.,The mother curves.
126,The father cycles.,The mother cycles.
127,The father dams.,The mother dams.
128,The father damages.,The mother damages.
129,The father dances.,The mother dances.
130,The father dares.,The mother dares.
131,The father decays.,The mother decays.
132,The father deceives.,The mother deceives.
133,The father decides.,The mother decides.
134,The father decorates.,The mother decorates.
135,The father delays.,The mother delays.
136,The father delights.,The mother delights.
137,The father delivers.,The mother delivers.
138,The father depends.,The mother depends.
139,The father describes.,The mother describes.
140,The father deserts.,The mother deserts.
141,The father deserves.,The mother deserves.
142,The father destroys.,The mother destroys.
143,The father detects.,The mother detects.
144,The father develops.,The mother develops.
145,The father disagrees.,The mother disagrees.
146,The father disappears.,The mother disappears.
147,The father disapproves.,The mother disapproves.
148,The father disarms.,The mother disarms.
149,The father discovers.,The mother discovers.
150,The father dislikes.,The mother dislikes.
151,The father divides.,The mother divides.
152,The father doubles.,The mother doubles.
153,The father doubts.,The mother doubts.
154,The father drags.,The mother drags.
155,The father drains.,The mother drains.
156,The father dreams.,The mother dreams.
157,The father dresses.,The mother dresses.
158,The father drips.,The mother drips.
159,The father drops.,The mother drops.
160,The father drowns.,The mother drowns.
161,The father drums.,The mother drums.
162,The father dries.,The mother dries.
163,The father dusts.,The mother dusts.
164,The father earns.,The mother earns.
165,The father educates.,The mother educates.
166,The father embarrasses.,The mother embarrasses.
167,The father employs.,The mother employs.
168,The father empties.,The mother empties.
169,The father encourages.,The mother encourages.
170,The father ends.,The mother ends.
171,The father enjoys.,The mother enjoys.
172,The father enters.,The mother enters.
173,The father entertains.,The mother entertains.
174,The father escapes.,The mother escapes.
175,The father examines.,The mother examines.
176,The father excites.,The mother excites.
177,The father excuses.,The mother excuses.
178,The father exercises.,The mother exercises.
179,The father exists.,The mother exists.
180,The father expands.,The mother expands.
181,The father expects.,The mother expects.
182,The father explains.,The mother explains.
183,The father explodes.,The mother explodes.
184,The father extends.,The mother extends.
185,The father faces.,The mother faces.
186,The father fades.,The mother fades.
187,The father fails.,The mother fails.
188,The father fancies.,The mother fancies.
189,The father fastens.,The mother fastens.
190,The father faxes.,The mother faxes.
191,The father fears.,The mother fears.
192,The father fences.,The mother fences.
193,The father fetches.,The mother fetches.
194,The father files.,The mother files.
195,The father fills.,The mother fills.
196,The father films.,The mother films.
197,The father fires.,The mother fires.
198,The father fits.,The mother fits.
199,The father fixes.,The mother fixes.
200,The father flaps.,The mother flaps.
201,The father flashes.,The mother flashes.
202,The father floats.,The mother floats.
203,The father floods.,The mother floods.
204,The father flows.,The mother flows.
205,The father flowers.,The mother flowers.
206,The father folds.,The mother folds.
207,The father follows.,The mother follows.
208,The father fools.,The mother fools.
209,The father forces.,The mother forces.
210,The father forms.,The mother forms.
211,The father founds.,The mother founds.
212,The father frames.,The mother frames.
213,The father frightens.,The mother frightens.
214,The father fries.,The mother fries.
215,The father gathers.,The mother gathers.
216,The father gazes.,The mother gazes.
217,The father glows.,The mother glows.
218,The father glues.,The mother glues.
219,The father grabs.,The mother grabs.
220,The father grates.,The mother grates.
221,The father greases.,The mother greases.
222,The father greets.,The mother greets.
223,The father grins.,The mother grins.
224,The father grips.,The mother grips.
225,The father groans.,The mother groans.
226,The father guarantees.,The mother guarantees.
227,The father guards.,The mother guards.
228,The father guesses.,The mother guesses.
229,The father guides.,The mother guides.
230,The father hammers.,The mother hammers.
231,The father hands.,The mother hands.
232,The father handles.,The mother handles.
233,The father hangs.,The mother hangs.
234,The father happens.,The mother happens.
235,The father harasses.,The mother harasses.
236,The father harms.,The mother harms.
237,The father hates.,The mother hates.
238,The father haunts.,The mother haunts.
239,The father heads.,The mother heads.
240,The father heals.,The mother heals.
241,The father heaps.,The mother heaps.
242,The father heats.,The mother heats.
243,The father helps.,The mother helps.
244,The father hooks.,The mother hooks.
245,The father hops.,The mother hops.
246,The father hopes.,The mother hopes.
247,The father hovers.,The mother hovers.
248,The father hugs.,The mother hugs.
249,The father hums.,The mother hums.
250,The father hunts.,The mother hunts.
251,The father hurries.,The mother hurries.
252,The father identifies.,The mother identifies.
253,The father ignores.,The mother ignores.
254,The father imagines.,The mother imagines.
255,The father impresses.,The mother impresses.
256,The father improves.,The mother improves.
257,The father includes.,The mother includes.
258,The father increases.,The mother increases.
259,The father influences.,The mother influences.
260,The father informs.,The mother informs.
261,The father injects.,The mother injects.
262,The father injures.,The mother injures.
263,The father instructs.,The mother instructs.
264,The father intends.,The mother intends.
265,The father interests.,The mother interests.
266,The father interferes.,The mother interferes.
267,The father interrupts.,The mother interrupts.
268,The father introduces.,The mother introduces.
269,The father invents.,The mother invents.
270,The father invites.,The mother invites.
271,The father irritates.,The mother irritates.
272,The father itches.,The mother itches.
273,The father jails.,The mother jails.
274,The father jams.,The mother jams.
275,The father jogs.,The mother jogs.
276,The father joins.,The mother joins.
277,The father jokes.,The mother jokes.
278,The father judges.,The mother judges.
279,The father juggles.,The mother juggles.
280,The father jumps.,The mother jumps.
281,The father kicks.,The mother kicks.
282,The father kills.,The mother kills.
283,The father kisses.,The mother kisses.
284,The father kneels.,The mother kneels.
285,The father knits.,The mother knits.
286,The father knocks.,The mother knocks.
287,The father knots.,The mother knots.
288,The father labels.,The mother labels.
289,The father lands.,The mother lands.
290,The father lasts.,The mother lasts.
291,The father laughs.,The mother laughs.
292,The father launches.,The mother launches.
293,The father learns.,The mother learns.
294,The father levels.,The mother levels.
295,The father licenses.,The mother licenses.
296,The father licks.,The mother licks.
297,The father lies.,The mother lies.
298,The father lightens.,The mother lightens.
299,The father likes.,The mother likes.
300,The father lists.,The mother lists.
301,The father listens.,The mother listens.
302,The father lives.,The mother lives.
303,The father loads.,The mother loads.
304,The father locks.,The mother locks.
305,The father longs.,The mother longs.
306,The father looks.,The mother looks.
307,The father loves.,The mother loves.
308,The father mans.,The mother mans.
309,The father manages.,The mother manages.
310,The father marches.,The mother marches.
311,The father marks.,The mother marks.
312,The father marries.,The mother marries.
313,The father matches.,The mother matches.
314,The father mates.,The mother mates.
315,The father matters.,The mother matters.
316,The father measures.,The mother measures.
317,The father meddles.,The mother meddles.
318,The father melts.,The mother melts.
319,The father memorises.,The mother memorises.
320,The father mends.,The mother mends.
321,The father milks.,The mother milks.
322,The father mines.,The mother mines.
323,The father misses.,The mother misses.
324,The father mixes.,The mother mixes.
325,The father moans.,The mother moans.
326,The father moors.,The mother moors.
327,The father mourns.,The mother mourns.
328,The father moves.,The mother moves.
329,The father muddles.,The mother muddles.
330,The father mugs.,The mother mugs.
331,The father multiplies.,The mother multiplies.
332,The father murders.,The mother murders.
333,The father nails.,The mother nails.
334,The father names.,The mother names.
335,The father needs.,The mother needs.
336,The father nests.,The mother nests.
337,The father nods.,The mother nods.
338,The father notes.,The mother notes.
339,The father notices.,The mother notices.
340,The father numbers.,The mother numbers.
341,The father obeys.,The mother obeys.
342,The father objects.,The mother objects.
343,The father observes.,The mother observes.
344,The father obtains.,The mother obtains.
345,The father occurs.,The mother occurs.
346,The father offends.,The mother offends.
347,The father offers.,The mother offers.
348,The father opens.,The mother opens.
349,The father orders.,The mother orders.
350,The father overflows.,The mother overflows.
351,The father owes.,The mother owes.
352,The father owns.,The mother owns.
353,The father packs.,The mother packs.
354,The father paddles.,The mother paddles.
355,The father paints.,The mother paints.
356,The father parks.,The mother parks.
357,The father parts.,The mother parts.
358,The father passes.,The mother passes.
359,The father pastes.,The mother pastes.
360,The father pats.,The mother pats.
361,The father pauses.,The mother pauses.
362,The father pecks.,The mother pecks.
363,The father pedals.,The mother pedals.
364,The father peels.,The mother peels.
365,The father peeps.,The mother peeps.
366,The father performs.,The mother performs.
367,The father permits.,The mother permits.
368,The father phones.,The mother phones.
369,The father picks.,The mother picks.
370,The father pinches.,The mother pinches.
371,The father pines.,The mother pines.
372,The father places.,The mother places.
373,The father plans.,The mother plans.
374,The father plants.,The mother plants.
375,The father plays.,The mother plays.
376,The father pleases.,The mother pleases.
377,The father plugs.,The mother plugs.
378,The father points.,The mother points.
379,The father pokes.,The mother pokes.
380,The father polishes.,The mother polishes.
381,The father pops.,The mother pops.
382,The father possesses.,The mother possesses.
383,The father posts.,The mother posts.
384,The father pours.,The mother pours.
385,The father practises.,The mother practises.
386,The father prays.,The mother prays.
387,The father preaches.,The mother preaches.
388,The father precedes.,The mother precedes.
389,The father prefers.,The mother prefers.
390,The father prepares.,The mother prepares.
391,The father presents.,The mother presents.
392,The father preserves.,The mother preserves.
393,The father presses.,The mother presses.
394,The father pretends.,The mother pretends.
395,The father prevents.,The mother prevents.
396,The father pricks.,The mother pricks.
397,The father prints.,The mother prints.
398,The father produces.,The mother produces.
399,The father programs.,The mother programs.
400,The father promises.,The mother promises.
401,The father protects.,The mother protects.
402,The father provides.,The mother provides.
403,The father pulls.,The mother pulls.
404,The father pumps.,The mother pumps.
405,The father punches.,The mother punches.
406,The father punctures.,The mother punctures.
407,The father punishes.,The mother punishes.
408,The father pushes.,The mother pushes.
409,The father questions.,The mother questions.
410,The father queues.,The mother queues.
411,The father races.,The mother races.
412,The father radiates.,The mother radiates.
413,The father rains.,The mother rains.
414,The father raises.,The mother raises.
415,The father reaches.,The mother reaches.
416,The father realises.,The mother realises.
417,The father receives.,The mother receives.
418,The father recognises.,The mother recognises.
419,The father records.,The mother records.
420,The father reduces.,The mother reduces.
421,The father reflects.,The mother reflects.
422,The father refuses.,The mother refuses.
423,The father regrets.,The mother regrets.
424,The father reigns.,The mother reigns.
425,The father rejects.,The mother rejects.
426,The father rejoices.,The mother rejoices.
427,The father relaxes.,The mother relaxes.
428,The father releases.,The mother releases.
429,The father relies.,The mother relies.
430,The father remains.,The mother remains.
431,The father remembers.,The mother remembers.
432,The father reminds.,The mother reminds.
433,The father removes.,The mother removes.
434,The father repairs.,The mother repairs.
435,The father repeats.,The mother repeats.
436,The father replaces.,The mother replaces.
437,The father replies.,The mother replies.
438,The father reports.,The mother reports.
439,The father reproduces.,The mother reproduces.
440,The father requests.,The mother requests.
441,The father rescues.,The mother rescues.
442,The father retires.,The mother retires.
443,The father returns.,The mother returns.
444,The father rhymes.,The mother rhymes.
445,The father rinses.,The mother rinses.
446,The father risks.,The mother risks.
447,The father robs.,The mother robs.
448,The father rocks.,The mother rocks.
449,The father rolls.,The mother rolls.
450,The father rots.,The mother rots.
451,The father rubs.,The mother rubs.
452,The father ruins.,The mother ruins.
453,The father rules.,The mother rules.
454,The father rushes.,The mother rushes.
455,The father sacks.,The mother sacks.
456,The father sails.,The mother sails.
457,The father satisfies.,The mother satisfies.
458,The father saves.,The mother saves.
459,The father saws.,The mother saws.
460,The father scares.,The mother scares.
461,The father scatters.,The mother scatters.
462,The father scolds.,The mother scolds.
463,The father scorches.,The mother scorches.
464,The father scrapes.,The mother scrapes.
465,The father scratches.,The mother scratches.
466,The father screams.,The mother screams.
467,The father screws.,The mother screws.
468,The father scribbles.,The mother scribbles.
469,The father scrubs.,The mother scrubs.
470,The father seals.,The mother seals.
471,The father searches.,The mother searches.
472,The father separates.,The mother separates.
473,The father serves.,The mother serves.
474,The father settles.,The mother settles.
475,The father shades.,The mother shades.
476,The father shares.,The mother shares.
477,The father shaves.,The mother shaves.
478,The father shelters.,The mother shelters.
479,The father shivers.,The mother shivers.
480,The father shocks.,The mother shocks.
481,The father shops.,The mother shops.
482,The father shrugs.,The mother shrugs.
483,The father sighs.,The mother sighs.
484,The father signs.,The mother signs.
485,The father signals.,The mother signals.
486,The father sins.,The mother sins.
487,The father sips.,The mother sips.
488,The father skis.,The mother skis.
489,The father skips.,The mother skips.
490,The father slaps.,The mother slaps.
491,The father slips.,The mother slips.
492,The father slows.,The mother slows.
493,The father smashes.,The mother smashes.
494,The father smells.,The mother smells.
495,The father smiles.,The mother smiles.
496,The father smokes.,The mother smokes.
497,The father snatches.,The mother snatches.
498,The father sneezes.,The mother sneezes.
499,The father sniffs.,The mother sniffs.
500,The father snores.,The mother snores.
501,The father snows.,The mother snows.
502,The father soaks.,The mother soaks.
503,The father soothes.,The mother soothes.
504,The father sounds.,The mother sounds.
505,The father spares.,The mother spares.
506,The father sparks.,The mother sparks.
507,The father sparkles.,The mother sparkles.
508,The father spells.,The mother spells.
509,The father spills.,The mother spills.
510,The father spoils.,The mother spoils.
511,The father spots.,The mother spots.
512,The father sprays.,The mother sprays.
513,The father sprouts.,The mother sprouts.
514,The father squashes.,The mother squashes.
515,The father squeaks.,The mother squeaks.
516,The father squeals.,The mother squeals.
517,The father squeezes.,The mother squeezes.
518,The father stains.,The mother stains.
519,The father stamps.,The mother stamps.
520,The father stares.,The mother stares.
521,The father starts.,The mother starts.
522,The father stays.,The mother stays.
523,The father steers.,The mother steers.
524,The father steps.,The mother steps.
525,The father stirs.,The mother stirs.
526,The father stitches.,The mother stitches.
527,The father stops.,The mother stops.
528,The father stores.,The mother stores.
529,The father straps.,The mother straps.
530,The father strengthens.,The mother strengthens.
531,The father stretches.,The mother stretches.
532,The father strips.,The mother strips.
533,The father strokes.,The mother strokes.
534,The father stuffs.,The mother stuffs.
535,The father subtracts.,The mother subtracts.
536,The father succeeds.,The mother succeeds.
537,The father sucks.,The mother sucks.
538,The father suffers.,The mother suffers.
539,The father suggests.,The mother suggests.
540,The father suits.,The mother suits.
541,The father supplies.,The mother supplies.
542,The father supports.,The mother supports.
543,The father supposes.,The mother supposes.
544,The father surprises.,The mother surprises.
545,The father surrounds.,The mother surrounds.
546,The father suspects.,The mother suspects.
547,The father suspends.,The mother suspends.
548,The father switches.,The mother switches.
549,The father talks.,The mother talks.
550,The father tames.,The mother tames.
551,The father taps.,The mother taps.
552,The father tastes.,The mother tastes.
553,The father teases.,The mother teases.
554,The father telephones.,The mother telephones.
555,The father tempts.,The mother tempts.
556,The father terrifies.,The mother terrifies.
557,The father tests.,The mother tests.
558,The father thanks.,The mother thanks.
559,The father thaws.,The mother thaws.
560,The father ticks.,The mother ticks.
561,The father tickles.,The mother tickles.
562,The father ties.,The mother ties.
563,The father times.,The mother times.
564,The father tips.,The mother tips.
565,The father tires.,The mother tires.
566,The father touches.,The mother touches.
567,The father tours.,The mother tours.
568,The father tows.,The mother tows.
569,The father traces.,The mother traces.
570,The father trades.,The mother trades.
571,The father trains.,The mother trains.
572,The father transports.,The mother transports.
573,The father traps.,The mother traps.
574,The father travels.,The mother travels.
575,The father treats.,The mother treats.
576,The father trembles.,The mother trembles.
577,The father tricks.,The mother tricks.
578,The father trips.,The mother trips.
579,The father trots.,The mother trots.
580,The father troubles.,The mother troubles.
581,The father trusts.,The mother trusts.
582,The father tries.,The mother tries.
583,The father tugs.,The mother tugs.
584,The father tumbles.,The mother tumbles.
585,The father turns.,The mother turns.
586,The father twists.,The mother twists.
587,The father types.,The mother types.
588,The father undresses.,The mother undresses.
589,The father unfastens.,The mother unfastens.
590,The father unites.,The mother unites.
591,The father unlocks.,The mother unlocks.
592,The father unpacks.,The mother unpacks.
593,The father untidies.,The mother untidies.
594,The father uses.,The mother uses.
595,The father vanishes.,The mother vanishes.
596,The father visits.,The mother visits.
597,The father wails.,The mother wails.
598,The father waits.,The mother waits.
599,The father walks.,The mother walks.
600,The father wanders.,The mother wanders.
601,The father wants.,The mother wants.
602,The father warms.,The mother warms.
603,The father warns.,The mother warns.
604,The father washes.,The mother washes.
605,The father wastes.,The mother wastes.
606,The father watches.,The mother watches.
607,The father waters.,The mother waters.
608,The father waves.,The mother waves.
609,The father weighs.,The mother weighs.
610,The father welcomes.,The mother welcomes.
611,The father whines.,The mother whines.
612,The father whips.,The mother whips.
613,The father whirls.,The mother whirls.
614,The father whispers.,The mother whispers.
615,The father whistles.,The mother whistles.
616,The father winks.,The mother winks.
617,The father wipes.,The mother wipes.
618,The father wishes.,The mother wishes.
619,The father wobbles.,The mother wobbles.
620,The father wonders.,The mother wonders.
621,The father works.,The mother works.
622,The father worries.,The mother worries.
623,The father wraps.,The mother wraps.
624,The father wrecks.,The mother wrecks.
625,The father wrestles.,The mother wrestles.
626,The father wriggles.,The mother wriggles.
627,The father x-rays.,The mother x-rays.
628,The father yawns.,The mother yawns.
629,The father yells.,The mother yells.
630,The father zips.,The mother zips.
631,The father zooms.,The mother zooms.
632,The brother accepts.,The sister accepts.
633,The brother adds.,The sister adds.
634,The brother admires.,The sister admires.
635,The brother admits.,The sister admits.
636,The brother advises.,The sister advises.
637,The brother affords.,The sister affords.
638,The brother agrees.,The sister agrees.
639,The brother alerts.,The sister alerts.
640,The brother allows.,The sister allows.
641,The brother amuses.,The sister amuses.
642,The brother analyses.,The sister analyses.
643,The brother announces.,The sister announces.
644,The brother annoys.,The sister annoys.
645,The brother answers.,The sister answers.
646,The brother apologises.,The sister apologises.
647,The brother appears.,The sister appears.
648,The brother applauds.,The sister applauds.
649,The brother appreciates.,The sister appreciates.
650,The brother approves.,The sister approves.
651,The brother argues.,The sister argues.
652,The brother arranges.,The sister arranges.
653,The brother arrests.,The sister arrests.
654,The brother arrives.,The sister arrives.
655,The brother asks.,The sister asks.
656,The brother attaches.,The sister attaches.
657,The brother attacks.,The sister attacks.
658,The brother attempts.,The sister attempts.
659,The brother attends.,The sister attends.
660,The brother attracts.,The sister attracts.
661,The brother avoids.,The sister avoids.
662,The brother backs.,The sister backs.
663,The brother bakes.,The sister bakes.
664,The brother balances.,The sister balances.
665,The brother bans.,The sister bans.
666,The brother bangs.,The sister bangs.
667,The brother bares.,The sister bares.
668,The brother bats.,The sister bats.
669,The brother bathes.,The sister bathes.
670,The brother battles.,The sister battles.
671,The brother beams.,The sister beams.
672,The brother begs.,The sister begs.
673,The brother behaves.,The sister behaves.
674,The brother belongs.,The sister belongs.
675,The brother bleaches.,The sister bleaches.
676,The brother blesses.,The sister blesses.
677,The brother blinds.,The sister blinds.
678,The brother blinks.,The sister blinks.
679,The brother blots.,The sister blots.
680,The brother blushes.,The sister blushes.
681,The brother boasts.,The sister boasts.
682,The brother boils.,The sister boils.
683,The brother bolts.,The sister bolts.
684,The brother bombs.,The sister bombs.
685,The brother books.,The sister books.
686,The brother bores.,The sister bores.
687,The brother borrows.,The sister borrows.
688,The brother bounces.,The sister bounces.
689,The brother bows.,The sister bows.
690,The brother boxes.,The sister boxes.
691,The brother brakes.,The sister brakes.
692,The brother branches.,The sister branches.
693,The brother breathes.,The sister breathes.
694,The brother bruises.,The sister bruises.
695,The brother brushes.,The sister brushes.
696,The brother bubbles.,The sister bubbles.
697,The brother bumps.,The sister bumps.
698,The brother burns.,The sister burns.
699,The brother buries.,The sister buries.
700,The brother buzzes.,The sister buzzes.
701,The brother calculates.,The sister calculates.
702,The brother calls.,The sister calls.
703,The brother camps.,The sister camps.
704,The brother cares.,The sister cares.
705,The brother carries.,The sister carries.
706,The brother carves.,The sister carves.
707,The brother causes.,The sister causes.
708,The brother challenges.,The sister challenges.
709,The brother changes.,The sister changes.
710,The brother charges.,The sister charges.
711,The brother chases.,The sister chases.
712,The brother cheats.,The sister cheats.
713,The brother checks.,The sister checks.
714,The brother cheers.,The sister cheers.
715,The brother chews.,The sister chews.
716,The brother chokes.,The sister chokes.
717,The brother chops.,The sister chops.
718,The brother claims.,The sister claims.
719,The brother claps.,The sister claps.
720,The brother cleans.,The sister cleans.
721,The brother clears.,The sister clears.
722,The brother clips.,The sister clips.
723,The brother closes.,The sister closes.
724,The brother coaches.,The sister coaches.
725,The brother coils.,The sister coils.
726,The brother collects.,The sister collects.
727,The brother colours.,The sister colours.
728,The brother combs.,The sister combs.
729,The brother commands.,The sister commands.
730,The brother communicates.,The sister communicates.
731,The brother compares.,The sister compares.
732,The brother competes.,The sister competes.
733,The brother complains.,The sister complains.
734,The brother completes.,The sister completes.
735,The brother concentrates.,The sister concentrates.
736,The brother concerns.,The sister concerns.
737,The brother confesses.,The sister confesses.
738,The brother confuses.,The sister confuses.
739,The brother connects.,The sister connects.
740,The brother considers.,The sister considers.
741,The brother consists.,The sister consists.
742,The brother contains.,The sister contains.
743,The brother continues.,The sister continues.
744,The brother copies.,The sister copies.
745,The brother corrects.,The sister corrects.
746,The brother coughs.,The sister coughs.
747,The brother counts.,The sister counts.
748,The brother covers.,The sister covers.
749,The brother cracks.,The sister cracks.
750,The brother crashes.,The sister crashes.
751,The brother crawls.,The sister crawls.
752,The brother crosses.,The sister crosses.
753,The brother crushes.,The sister crushes.
754,The brother cries.,The sister cries.
755,The brother cures.,The sister cures.
756,The brother curls.,The sister curls.
757,The brother curves.,The sister curves.
758,The brother cycles.,The sister cycles.
759,The brother dams.,The sister dams.
760,The brother damages.,The sister damages.
761,The brother dances.,The sister dances.
762,The brother dares.,The sister dares.
763,The brother decays.,The sister decays.
764,The brother deceives.,The sister deceives.
765,The brother decides.,The sister decides.
766,The brother decorates.,The sister decorates.
767,The brother delays.,The sister delays.
768,The brother delights.,The sister delights.
769,The brother delivers.,The sister delivers.
770,The brother depends.,The sister depends.
771,The brother describes.,The sister describes.
772,The brother deserts.,The sister deserts.
773,The brother deserves.,The sister deserves.
774,The brother destroys.,The sister destroys.
775,The brother detects.,The sister detects.
776,The brother develops.,The sister develops.
777,The brother disagrees.,The sister disagrees.
778,The brother disappears.,The sister disappears.
779,The brother disapproves.,The sister disapproves.
780,The brother disarms.,The sister disarms.
781,The brother discovers.,The sister discovers.
782,The brother dislikes.,The sister dislikes.
783,The brother divides.,The sister divides.
784,The brother doubles.,The sister doubles.
785,The brother doubts.,The sister doubts.
786,The brother drags.,The sister drags.
787,The brother drains.,The sister drains.
788,The brother dreams.,The sister dreams.
789,The brother dresses.,The sister dresses.
790,The brother drips.,The sister drips.
791,The brother drops.,The sister drops.
792,The brother drowns.,The sister drowns.
793,The brother drums.,The sister drums.
794,The brother dries.,The sister dries.
795,The brother dusts.,The sister dusts.
796,The brother earns.,The sister earns.
797,The brother educates.,The sister educates.
798,The brother embarrasses.,The sister embarrasses.
799,The brother employs.,The sister employs.
800,The brother empties.,The sister empties.
801,The brother encourages.,The sister encourages.
802,The brother ends.,The sister ends.
803,The brother enjoys.,The sister enjoys.
804,The brother enters.,The sister enters.
805,The brother entertains.,The sister entertains.
806,The brother escapes.,The sister escapes.
807,The brother examines.,The sister examines.
808,The brother excites.,The sister excites.
809,The brother excuses.,The sister excuses.
810,The brother exercises.,The sister exercises.
811,The brother exists.,The sister exists.
812,The brother expands.,The sister expands.
813,The brother expects.,The sister expects.
814,The brother explains.,The sister explains.
815,The brother explodes.,The sister explodes.
816,The brother extends.,The sister extends.
817,The brother faces.,The sister faces.
818,The brother fades.,The sister fades.
819,The brother fails.,The sister fails.
820,The brother fancies.,The sister fancies.
821,The brother fastens.,The sister fastens.
822,The brother faxes.,The sister faxes.
823,The brother fears.,The sister fears.
824,The brother fences.,The sister fences.
825,The brother fetches.,The sister fetches.
826,The brother files.,The sister files.
827,The brother fills.,The sister fills.
828,The brother films.,The sister films.
829,The brother fires.,The sister fires.
830,The brother fits.,The sister fits.
831,The brother fixes.,The sister fixes.
832,The brother flaps.,The sister flaps.
833,The brother flashes.,The sister flashes.
834,The brother floats.,The sister floats.
835,The brother floods.,The sister floods.
836,The brother flows.,The sister flows.
837,The brother flowers.,The sister flowers.
838,The brother folds.,The sister folds.
839,The brother follows.,The sister follows.
840,The brother fools.,The sister fools.
841,The brother forces.,The sister forces.
842,The brother forms.,The sister forms.
843,The brother founds.,The sister founds.
844,The brother frames.,The sister frames.
845,The brother frightens.,The sister frightens.
846,The brother fries.,The sister fries.
847,The brother gathers.,The sister gathers.
848,The brother gazes.,The sister gazes.
849,The brother glows.,The sister glows.
850,The brother glues.,The sister glues.
851,The brother grabs.,The sister grabs.
852,The brother grates.,The sister grates.
853,The brother greases.,The sister greases.
854,The brother greets.,The sister greets.
855,The brother grins.,The sister grins.
856,The brother grips.,The sister grips.
857,The brother groans.,The sister groans.
858,The brother guarantees.,The sister guarantees.
859,The brother guards.,The sister guards.
